"State/UT,NER - Foundational (Pre-Primary to Class II) - Male,NER - Foundational (Pre-Primary to Class II) - Female,NER - Foundational (Pre-Primary to Class II) - Total,NER - Preparatory (Class III to Class V) - Male,NER - Preparatory (Class III to Class V) - Female,NER - Preparatory (Class III to Class V) - Total,NER - Middle (Class VI to Class VIII) - Male,NER - Middle (Class VI to Class VIII) - Female,NER - Middle (Class VI to Class VIII) - Total,NER - Secondary (Class IX to XII) - Male,NER - Secondary (Class IX to XII) - Female,NER - Secondary (Class IX to XII) - Total"
"India,37.5,38.2,37.8,70.4,72.6,71.4,64.1,64.8,64.4,50.0,52.0,50.9"
"Andaman & Nicobar Islands,63.2,62.0,62.6,69.7,71.2,70.5,67.7,67.1,67.4,63.4,72.8,67.7"
"Andhra Pradesh,45.9,45.6,45.8,69.5,68.2,68.8,71.7,67.6,69.8,57.5,57.5,57.5"
"Arunachal Pradesh,58.2,59.9,59.0,64.7,67.2,65.9,51.8,57.0,54.4,39.6,43.7,41.6"
"Assam,45.5,44.3,43.6,79.5,76.4,60.0,68.7,64.2,40.3,49.3,44.7"
"Bihar,20.7,20.3,20.5,68.4,71.9,70.1,47.1,49.1,48.1,28.5,32.0,30.2"
"Chandigarh,64.7,66.5,65.5,86.4,94.4,90.0,89.8,100.0,94.6,84.6,99.6,91.0"
"Chhattisgarh,42.8,43.1,42.9,70.4,71.4,70.9,70.6,71.8,71.2,47.1,55.6,51.2"
"Dadra & Nagar Haveli and Daman & Diu,53.0,52.3,52.7,87.5,91.3,89.2,83.0,86.4,84.5,54.8,76.8,63.8"
"Goa,47.7,52.7,50.0,76.0,80.3,78.0,80.8,83.4,82.0,69.1,73.4,71.1"
"Delhi,71.4,69.2,70.3,97.9,97.7,97.8,92.3,96.7,94.4,81.2,90.6,85.6"
"Gujarat,34.6,35.9,35.2,67.7,70.3,68.9,65.8,66.0,65.9,41.4,41.9,41.6"
"Haryana,35.3,36.2,35.7,67.9,65.8,67.0,71.2,68.7,70.1,59.3,58.8,59.0"
"Himachal Pradesh,63.8,63.8,63.8,67.6,66.6,67.2,63.6,62.8,63.2,59.8,61.8,60.8"
"Jammu & Kashmir,83.3,82.2,82.8,70.9,71.5,71.2,51.5,53.5,52.4,38.2,39.5,38.8"
"Jharkhand,31.7,31.7,31.7,65.1,67.6,66.3,56.0,58.3,57.1,38.3,41.8,40.0"
"Karnataka,40.6,41.1,40.8,89.1,90.0,89.5,86.6,85.5,86.1,62.0,67.5,64.7"
"Kerala,55.0,55.3,55.1,81.8,80.9,81.3,82.3,81.9,82.2,78.8,80.3,79.5"
"Ladakh,79.8,74.3,77.0,76.3,79.1,77.7,54.5,67.5,60.6,45.1,54.6,49.7"
"Lakshadweep,60.9,60.1,60.5,86.0,81.5,83.8,68.0,71.2,69.7,64.7,64.4,64.6"
"Madhya Pradesh,38.8,35.1,35.6,56.5,56.1,56.3,59.1,58.3,58.7,42.7,42.6,42.6"
"Maharashtra,38.1,41.5,40.0,79.3,84.0,81.4,74.4,73.3,73.9,61.6,61.6,61.6"
"Manipur,72.7,73.6,73.1,87.8,91.4,89.5,59.0,61.6,60.3,49.8,50.7,50.2"
"Mizoram,96.1,100.0,98.0,89.6,100.0,94.9,63.1,77.5,70.1,37.7,52.8,45.2"
"Nagaland,79.0,83.2,81.1,89.3,94.6,91.8,81.8,88.5,85.1,57.0,65.6,61.2"
"Odisha,66.2,68.6,67.4,61.5,65.7,63.5,48.0,54.0,50.9,36.3,43.2,39.6"
"Puducherry,33.8,33.7,33.8,72.7,72.0,72.3,70.6,69.4,70.1,51.3,53.4,52.3"
"Punjab,63.2,61.1,62.2,62.8,62.5,62.7,63.6,65.0,64.3,63.9,73.2,68.3"
"Rajasthan,72.1,72.4,72.3,81.3,80.2,80.8,75.6,74.4,75.1,65.7,67.1,66.3"
"Sikkim,41.8,41.3,41.6,65.5,67.3,66.3,62.9,61.6,62.3,54.0,51.9,53.0"
"Tamil Nadu,76.4,76.0,76.2,68.8,67.3,68.1,55.0,55.4,55.2,47.0,52.6,49.8"
"Telangana,54.0,54.8,54.4,77.7,79.5,78.5,80.2,79.7,79.9,69.4,74.5,71.9"
"Tripura,52.2,53.0,52.6,97.7,100.0,98.5,80.0,78.7,79.4,62.4,64.2,63.3"
"Uttar Pradesh,47.7,48.7,48.2,97.7,100.0,100.0,81.0,87.2,84.0,56.3,62.6,59.3"
"Uttarakhand,25.7,26.3,26.0,56.6,59.0,57.9,48.7,50.2,49.4,42.4,41.0,41.7"
"West Bengal,47.7,49.8,48.7,75.4,79.0,77.1,70.2,72.4,71.2,60.4,64.5,62.3"