"State/UT,Total Schools - All management,Total Schools - Govt.,Total Schools - Pvt. aided,Total Schools - Pvt. unaided,Total Schools - Others,Schools with internet facility - All management,Schools with internet facility - Govt.,Schools with internet facility - Pvt. aided,Schools with internet facility - Pvt. unaided,Schools with internet facility - Others,% of Schools with internet facility - All management,% of Schools with internet facility - Govt.,% of Schools with internet facility - Pvt. aided,% of Schools with internet facility - Pvt. unaided,% of Schools with internet facility - Others"
"India,1471891,1017660,80313,331108,42810,792392,470188,58872,245280,18052,53.9,46.2,73.3,74.3,42.2"
"Andaman & Nicobar Islands,412,340,2,70,0,299,174,2,63,0,58,51.2,100,90,0"
"Andhra Pradesh,61373,45000,991,15232,150,57652,41390,924,15188,150,93.9,92,93.2,99.7,100"
"Arunachal Pradesh,3490,2847,72,529,42,1065,642,46,357,15,30.5,22.6,63.9,68.4,35.7"
"Assam,56630,45008,2267,5725,3630,25490,22290,287,2557,356,45,49.5,12.7,44.7,9.8"
"Bihar,94686,78120,723,9167,6676,17476,9247,102,5524,2619,18.5,11.8,14.1,60.3,39.2"
"Chandigarh,230,119,7,77,27,229,119,7,77,26,99.6,100,100,100,96.3"
"Chhattisgarh,56615,48803,414,7153,245,34722,29210,262,5156,94,61.3,59.9,63.3,72.1,38.4"
"Dadra & Nagar Haveli and Daman & Diu,432,360,8,63,1,429,358,8,62,1,99.3,99.4,100,98.4,100"
"Delhi,5497,2693,239,2565,0,5497,2693,239,2565,0,100,100,100,100,0"
"Goa,1487,789,557,141,0,1302,627,538,137,0,87.6,79.5,96.6,97.2,0"
"Gujarat,53626,34597,5535,13490,4,50351,33009,4671,12667,4,93.9,95.4,84.4,93.9,100"
"Haryana,23517,14374,5,8415,723,15926,7549,4,7777,596,67.7,52.5,80,92.4,82.4"
"Himachal Pradesh,17826,15217,0,2607,2,8683,6503,0,2180,0,48.7,42.7,0,83.6,0"
"Jammu & Kashmir,24296,18785,1,5452,58,11016,7256,0,3722,38,45.3,38.6,0,68.3,65.5"
"Jharkhand,44475,35795,1146,1634,5900,23435,17977,505,1334,3619,52.7,50.2,44,81.6,61.3"
"Karnataka,75869,49306,7013,19542,8,37327,17245,4209,15869,4,49.2,35,60,81.2,50"
"Kerala,15864,4809,7162,3082,811,14616,4320,6513,3036,747,92.1,89.8,90.9,98.5,92.1"
"Ladakh,995,841,40,114,0,455,365,24,66,0,45.7,43.4,60,57.9,0"
"Lakshadweep,37,37,0,0,0,37,37,0,0,0,100,100,0,0,0"
"Madhya Pradesh,123412,92439,581,28910,1482,53376,29900,280,22523,673,43.3,32.3,48.2,77.9,45.4"
"Maharashtra,108237,65157,24173,18642,265,73073,35442,20172,17219,240,67.5,54.4,83.4,92.4,90.6"
"Manipur,4646,2934,584,1010,118,1499,613,100,737,49,32.3,20.9,17.1,73,41.5"
"Meghalaya,14601,7779,4168,2152,502,3580,1784,1081,617,98,24.5,22.9,25.9,28.7,19.5"
"Mizoram,3941,2587,230,1064,60,982,526,77,360,19,24.9,20.3,33.5,33.8,31.7"
"Nagaland,2725,1952,0,772,1,1535,933,0,601,1,56.3,47.8,0,77.8,100"
"Odisha,61693,48671,5907,6042,1073,50582,39594,4902,5209,877,82,81.4,83,86.2,81.7"
"Puducherry,735,420,33,282,0,735,420,33,282,0,100,100,100,100,0"
"Punjab,27404,19242,444,7704,14,20274,12713,404,7147,10,74,66.1,91,92.8,71.4"
"Rajasthan,107757,70233,0,34729,2795,73634,44231,0,28489,914,68.3,63,0,82,32.7"
"Sikkim,1254,864,16,374,0,587,347,5,235,0,46.8,40.2,31.3,62.8,0"
"Tamil Nadu,58722,37672,8314,12481,255,58106,37648,8278,11956,224,99,99.9,99.6,95.8,87.8"
"Telangana,42906,30022,662,12126,91,17114,6578,245,10279,12,39.9,21.9,37,84.8,13.2"
"Tripura,4923,4238,42,375,268,1736,1442,19,245,30,35.3,34,45.2,62,12.1"
"Uttar Pradesh,255087,137102,8291,96635,13059,98346,94394,4439,54479,5034,38.6,25.1,53.5,56.4,38.5"
"Uttarakhand,22551,16201,614,5252,484,15456,10200,447,4438,371,68.5,63,72.8,84.5,76.7"
"West Bengal,93945,82307,72,7480,4086,16412,12412,49,2722,1231,17.5,15.1,68.1,36.4,30.1"